title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
Journal of Interactive Marketing,Sage Publications,1094-9968,1520-6653,3506,1986,A
Journal of International Marketing,Sage Publications,1069-031X,1547-7215,3506,1993,A
Journal of Macromarketing,Sage Publications,0276-1467,1552-6534,3506,1981,A
Journal of Marketing Management,Taylor & Francis Online,0267-257X,1472-1376,3506,1985,A
Journal of Personal Selling & Sales Management,Taylor & Francis Online,0885-3134,1557-7813,3506,1980,A
Journal of Product & Brand Management,Emerald Group Publishing,1061-0421,2054-1643,3506,1992,A
Journal of Public Policy and Marketing,Sage Publications,0743-9156,1547-7207,3506,1982,A
Journal of Retailing and Consumer Services,Elsevier,0969-6989,1873-1384,3506,1994,A
Journal of Service Theory and Practice,Emerald Group Publishing,2055-6225,2055-6233,3506,1990,A
Journal of Services Marketing,Emerald Group Publishing,0887-6045,2054-1651,3506,1986,A
Journal of Strategic Marketing,Taylor & Francis Online,0965-254X,1466-4488,3506,1993,A
Marketing Intelligence & Planning,Emerald Group Publishing,0263-4503,1758-8049,3506,1983,A
Marketing Letters,Springer International Publishing,0923-0645,1573-059X,3506,1990,A
Marketing Theory,Sage Publications,1470-5931,1741-301X,3506,2001,A
Psychology & Marketing,Wiley-Blackwell Publishing,0742-6046,1520-6793,3506,1984,A
Public Relations Review,Elsevier,0363-8111,1873-4537,3506,1975,A
Quantitative Marketing and Economics,Springer International Publishing,1570-7156,1573-711X,3506,2003,A
Academy of Management Discoveries,Academy of Management,2168-1007,,3507,2015,A*
Advances in Experimental Social Psychology,Elsevier,0065-2601,1557-8410,3507,1964,A*
American Psychologist,American Psychological Association,0003-066X,1935-990X,3507,1946,A*
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,2327-0616,,3507,2014,A*
Annual Review of Psychology,Annual Reviews,0066-4308,1545-2085,3507,1950,A*
British Journal of Management,Wiley-Blackwell Publishing,1045-3172,1467-8551,3507,1990,A*
Gender and Society,Sage Publications,0891-2432,1552-3977,3507,1987,A*
Human Relations,Sage Publications,0018-7267,1741-282X,3507,1947,A*
International Journal of Management Reviews,Wiley-Blackwell Publishing,1460-8545,1468-2370,3507,1999,A*
International Journal of Project Management,Elsevier,0263-7863,1873-4634,3507,1983,A*
Journal of Occupational and Organizational Psychology,Wiley-Blackwell Publishing,0963-1798,2044-8325,3507,1975,A*
Journal of Organizational Behavior,Wiley-Blackwell Publishing,0894-3796,1099-1379,3507,1980,A*
Journal of Personality and Social Psychology,American Psychological Association,0022-3514,1939-1315,3507,1965,A*
Journal of Vocational Behavior,Elsevier,0001-8791,1095-9084,3507,1971,A*
Journal of World Business,Elsevier,1090-9516,1878-5573,3507,1997,A*
Long Range Planning,Elsevier,0024-6301,1873-1872,3507,1968,A*
Organizational Research Methods,Sage Publications,1094-4281,1552-7425,3507,1998,A*
